"Part";"Value";"Device";"Package";"Description";"I_OUT";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"R1";"R2";
"Q1";"IRLML5203";"IRLML5203";"MICRO3";"HEXFET P-Channel Power MOSFET";"";"";"";"";"";"SOT-23";"";"";
"Q101";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q102";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q103";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q104";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q105";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q106";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q107";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q108";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"R1";"1k5";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R2";"1k5";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R3";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R4";"22R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"R1206";"";"";
"R5";"22R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"R1206";"";"";
"R6";"22R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"R1206";"";"";
"R7";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R9";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R101";"0R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"R0805";"";"";
"R102";"0R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"R0805";"";"";
"R103";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R104";"22k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R105";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R106";"680";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R107";"12k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R108";"240R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R110";"470R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R111";"120k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R112";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R113";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R114";"1k5";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R115";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R116";"1k2";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R117";"100R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R118";"10R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R120";"n.c.";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R121";"100R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R122";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R123";"10R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R124";"10R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R125";"4m";"WSL2512";"R2512";"";"";"";"";"";"";"R2512";"";"";
"R126";"DNP";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R127";"DNP";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"R0603";"";"";
"R128";"DNP";"WSL2512";"R2512";"";"";"";"";"";"";"R2512";"";"";
"S101";"SS_ESP101";"SS_ESP101";"SS_ESP101";"";"";"";"";"";"";"";"";"";
"T1";"PDTC143E";"PDTC143E";"SOT23";"NPN Resistor equipped transistors";"100mA";"";"";"";"";"SOT-23";"4.7k";"4.7k";
"T3";"PDTC143E";"PDTC143E";"SOT23";"NPN Resistor equipped transistors";"100mA";"";"";"";"";"SOT-23";"4.7k";"4.7k";
"T101";"PDTC143E";"PDTC143E";"SOT23";"NPN Resistor equipped transistors";"100mA";"";"";"";"";"SOT-23";"4.7k";"4.7k";
"T102";"PDTC143E";"PDTC143E";"SOT23";"NPN Resistor equipped transistors";"100mA";"";"";"";"";"SOT-23";"4.7k";"4.7k";
"TP1";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP2";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP3";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP4";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP5";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP6";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP101";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP102";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP103";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP104";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP105";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP106";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP107";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP108";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP109";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP110";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP111";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP112";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP113";"TP";"TP";"C90";"";"";"";"";"";"";"";"";"";
"TP114";"TP";"TP";"C90";"";"";"";"";"";"";"";"";"";
"TP115";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP116";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP117";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"TP118";"TPC90H30";"TPC90H30";"C90H30";"";"";"";"";"";"";"";"";"";
"U201";"NUCLEO_F103_BOT";"NUCLEO_F103_BOT";"NUCLEO_BRD64_LOWER";"";"";"";"";"";"";"";"";"";
"X1";"AST_02_3,5MM_45°";"AST_02_3,5MM_45°";"AST_452_3,5";"";"";"";"";"";"";"";"";"";
"X101";"AST_03_3,5MM";"AST_03_3,5MM_45°";"AST_453_3,5";"";"";"";"";"";"";"";"";"";
